Div DNA/DTA DNA/DTC DNA/DTH DNA/DTM DNA/DTT DNA/Helitron LINE/unknown LTR/Copia LTR/Gypsy LTR/unknown MITE/DTA MITE/DTC MITE/DTH MITE/DTM MITE/DTT Simple_repeat Unknown 
0 10163 28118 2746 12028 0 822 0 84536 286408 49483 936 360 204 1091 0 0 591999 
1 26122 90490 7284 9073 657 9899 737 395049 613768 191547 52 0 0 103 0 0 601732 
2 23957 132614 4341 24016 0 4021 863 752578 998444 201230 1494 0 0 379 0 0 497449 
3 20935 147876 6341 55558 7 6899 1186 856807 1656095 300007 2963 515 0 292 0 0 411517 
4 22894 150510 8034 57389 0 2390 462 898338 2237460 396613 2796 524 186 1609 0 0 365297 
5 44065 124422 15669 49642 0 2435 2864 894215 2560689 684956 4504 335 0 11205 0 0 248926 
6 30823 141871 3823 79423 383 3712 2976 930846 3268872 950750 4214 403 0 16452 0 0 253510 
7 50078 112971 5105 132232 0 3892 1539 908665 3827273 978923 4292 1898 153 9880 0 0 236751 
8 39824 168057 7525 80091 1187 4429 796 888914 4900805 894363 4203 418 0 13404 0 0 212758 
9 37107 123006 12356 79182 1183 8189 2657 955175 5505851 946009 6560 324 437 19900 0 0 183389 
10 18745 107393 8746 85974 0 4070 618 792097 5752986 1307155 5289 802 60 17737 0 0 166220 
11 18082 129160 12824 77849 410 4967 695 603386 5939323 1865862 16292 387 0 16219 0 0 167434 
12 18614 114250 12844 105498 0 9863 1831 483538 5883139 1634281 39209 300 0 20085 137 0 171836 
13 27588 80647 8110 77083 0 4483 2870 409862 5567670 1809040 41122 306 322 32045 0 0 169747 
14 15952 72258 10641 59776 424 4191 1616 358642 5192093 1691924 44638 737 274 21011 0 0 151115 
15 15183 72064 14469 56131 551 3046 3113 308758 4853905 1354628 33420 1598 0 27473 0 0 151458 
16 16544 70655 12791 70945 0 3004 3485 304597 4945373 1081090 15031 745 479 23410 0 0 163240 
17 16945 70304 9642 81382 423 5378 3512 296743 4572253 940192 10802 2028 206 20430 0 0 149175 
18 15934 64089 7177 90235 0 3889 3070 261885 4438408 793539 16746 2166 0 20035 0 0 150094 
19 16884 68698 6597 56862 106 7603 3974 246509 3877416 821897 9370 2208 671 22124 0 0 147150 
20 14182 64513 7749 67475 0 5059 6449 252143 3862651 770328 6653 1284 0 21701 0 0 147814 
21 10379 53980 7528 67793 0 4439 3499 217715 3754941 663094 4802 2418 225 23551 0 0 151704 
22 15221 59684 8472 68431 0 6002 4582 232966 3750482 620625 3193 1449 467 18183 0 0 162064 
23 9719 44223 12601 67297 82 6976 6700 225420 3444222 589386 3903 1150 90 23563 0 0 160327 
24 8544 56933 10824 54967 0 2852 7841 225959 3348601 684499 1769 551 217 27036 0 0 151505 
25 7754 58907 7026 53821 452 6654 5680 239694 3411730 748759 2776 1675 123 26277 0 0 108918 
26 6198 44864 6609 51651 350 5084 4542 313943 3618361 762663 1820 1430 259 23498 0 0 122814 
27 6517 44299 13664 54312 0 1925 5444 419979 4464205 711310 2254 726 286 19274 0 0 89422 
28 10549 34512 8422 46273 189 3787 10412 458456 5250188 705968 1214 1486 327 18026 0 0 78171 
29 4020 26566 8987 49604 1198 2962 7309 411588 5424264 753356 1825 901 165 18046 0 0 78100 
30 7060 42461 11423 41465 610 3289 17579 396963 4124751 833881 1064 1780 544 16392 0 0 64698 
31 9444 26029 5215 55762 274 3460 12860 338673 3626953 758152 2400 2433 586 16550 0 0 53747 
32 4071 31633 3025 51648 1072 1861 22542 287875 4553884 691476 1618 765 0 17940 0 0 53825 
33 7327 25929 8518 53323 873 1478 19432 169596 4375659 438671 288 1358 107 10313 0 0 40913 
34 10498 37167 4307 28856 600 2460 17830 184352 3826585 280247 921 957 6 9374 0 0 32189 
35 8024 18009 4110 36368 1129 2071 14503 181196 3575929 154317 341 84 0 7674 0 0 34339 
36 9033 31888 7927 42255 2085 1797 15353 111755 2794544 139465 593 633 0 7069 0 0 17518 
37 5283 23694 4775 36912 6281 2911 11297 124212 2294177 143622 301 510 119 6905 0 0 19492 
38 1181 27512 7147 40290 6136 848 9837 89215 1482556 128291 679 36 325 4019 0 0 32330 
39 3970 40351 5663 45388 832 1001 9024 74573 1491386 121247 209 480 0 2539 0 0 19935 
40 2795 60912 6957 61232 1473 45 2282 82758 1371411 81132 417 299 0 2564 0 0 18188 
41 2255 57325 14952 87950 864 585 2018 71975 1169465 84038 286 369 0 1886 0 0 25042 
42 1899 32480 14211 58447 3333 430 2543 98755 966576 57721 0 175 0 573 0 0 6765 
43 3425 16044 7637 33025 3749 199 413 120302 760350 45152 0 283 0 846 0 0 6001 
44 792 12531 14619 12537 4486 73 943 95418 489827 57616 0 20 0 0 0 0 2216 
45 438 10143 3270 17735 2204 1039 607 63229 275581 83616 287 222 0 0 0 0 1335 
46 910 4212 2997 8504 604 0 220 49787 154191 176891 0 0 0 19 0 0 1362 
47 232 3217 424 9544 1270 0 0 27658 82124 333645 0 125 0 0 0 0 1071 
48 2094 2193 0 3297 119 0 0 19773 46126 140102 0 0 0 0 0 0 150 
49 479 370 314 95 0 0 0 7921 31288 85337 0 41 0 0 0 0 224 
50 0 414 0 2233 0 0 0 4278 17409 63184 0 0 0 0 0 0 112 
51 535 0 0 430 0 0 0 1322 16770 32817 0 0 0 0 0 0 128 
52 0 0 0 0 0 0 97 862 9512 19600 0 0 0 0 0 0 109 
53 0 110 0 0 0 0 0 627 8778 3635 0 0 0 0 0 0 0 
54 0 0 0 0 0 0 0 0 9757 1261 0 0 0 0 0 0 0 
55 0 0 0 0 0 0 0 0 5609 332 0 0 0 0 0 0 0 
56 0 0 0 0 0 0 0 0 6533 343 0 0 0 0 0 0 0 
57 0 0 0 0 0 0 0 0 4583 91 0 0 0 0 0 0 0 
58 0 0 0 0 0 0 0 218 2270 55 0 0 0 0 0 0 0 
59 0 0 0 0 0 0 0 0 289 0 0 0 0 0 0 0 0 
60 0 0 0 0 0 0 0 0 65 0 0 0 0 0 0 0 0 
61 0 0 0 0 0 0 0 0 629 0 0 0 0 0 0 0 0 
62 0 0 0 0 0 0 0 0 170 0 0 0 0 0 0 0 0 
63 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
67 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
68 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
69 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
70 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
