Div DNA/DTA DNA/DTC DNA/DTH DNA/DTM DNA/DTT DNA/Helitron LINE/unknown LTR/Copia LTR/Gypsy LTR/unknown MITE/DTA MITE/DTC MITE/DTH MITE/DTM MITE/DTT Simple_repeat Unknown pararetrovirus 
0 19797 89595 6894 42152 112 2404 1587 412120 834595 153776 1865 111 396 2913 280 0 1554041 0 
1 53790 205488 8963 65063 2044 6286 9449 575615 1256731 266645 5688 0 0 1271 0 0 1396095 0 
2 94766 288016 22846 87881 1310 19020 7729 1068002 1921179 500845 10479 311 596 1988 173 0 1008792 0 
3 66426 315909 14550 143594 2970 4925 11422 1445541 2935661 696359 16518 1081 792 2852 0 0 858349 0 
4 80395 389779 10226 161738 3452 10721 11874 1536254 3439678 818376 7518 1527 204 2671 0 0 858676 0 
5 77173 359018 18247 97245 621 4426 14310 1761872 3891305 960216 4568 1177 204 10366 31 0 786074 0 
6 84769 310916 20417 127469 2269 8320 10567 1654051 4862730 1253049 10671 668 0 16338 0 0 722184 0 
7 132697 336038 25646 137956 1046 5583 7563 1573218 6053160 1400488 11759 2401 123 16924 0 0 696199 0 
8 91839 340367 24305 123855 1751 9188 6317 1581967 6653019 1366253 14732 657 292 20563 0 0 619803 0 
9 54395 375123 43708 139477 352 9486 7767 1604576 6851006 1491713 13205 2039 200 26354 44 0 609157 0 
10 60699 357542 54930 173638 0 14205 7429 1415053 6952095 1664017 18453 1942 140 31425 0 0 538410 0 
11 48183 319247 49180 152279 862 9998 12964 1108336 7007895 1755925 29993 1003 122 33032 0 0 513259 0 
12 49942 282524 43974 124668 371 8350 11793 940520 7047561 1640882 57760 567 359 36682 0 0 477029 0 
13 47096 252856 37332 143439 429 6243 8209 894877 7527772 1810618 90846 2623 971 39558 0 0 459364 0 
14 48905 243610 37725 115650 1431 7897 11000 843897 7755267 2207776 100499 1215 906 51207 0 0 436842 0 
15 44365 215561 42155 141529 1021 12361 11503 751069 7273463 2337258 93490 1863 425 36273 0 0 430592 0 
16 39193 221240 33649 122837 77 9985 9964 718679 6859022 2084878 43899 3337 1302 36991 0 0 430215 0 
17 40637 231966 35849 143211 158 16107 11582 766406 6215501 1713152 17903 3619 740 39345 72 0 409803 0 
18 28164 201981 31280 145273 130 13051 12419 814326 6183817 1395897 10536 3056 855 45089 35 0 397489 0 
19 29939 157764 31153 127829 112 16376 15474 753147 5684803 1395524 9357 3422 1219 44264 0 0 409614 0 
20 35049 166346 28373 134809 524 18259 14215 706420 5529715 1305657 13461 4266 631 47778 0 0 381224 0 
21 25599 141832 27858 109462 0 14288 12119 681818 5603815 879690 11691 4169 1020 52803 0 0 404601 0 
22 20292 148288 23218 105700 723 15684 17389 563319 5691879 725541 7444 3275 1384 56379 0 0 380309 0 
23 21908 151844 22050 135779 693 8777 11430 595177 5728314 711183 11441 4470 1070 56083 0 0 391890 0 
24 17971 172522 26625 133802 377 10237 18254 508565 5803266 681438 8201 6095 1152 52475 0 0 360120 0 
25 19589 159001 29100 147130 1298 10471 15309 466884 5734854 852020 5731 3686 1033 59966 0 0 327390 0 
26 17123 173911 16165 145538 898 7160 16219 503570 5155880 891380 3483 4606 1335 58317 0 0 287110 0 
27 20254 154381 15567 117012 868 7454 25685 551315 5185726 969441 4037 4609 1215 49588 0 0 255452 0 
28 15715 115055 20593 123822 765 7328 26832 581704 5088216 1093915 5510 4612 439 45195 0 0 237508 0 
29 10998 118949 11134 135968 3198 8745 21028 561770 5394213 1263735 2781 2985 552 42810 0 0 219725 0 
30 10251 93568 10461 126587 2078 5908 23703 547998 5085958 1159651 4671 4972 479 36615 0 0 178273 0 
31 9724 74412 10420 130611 1305 7452 32507 442101 4695249 1240849 3628 2955 0 38607 0 0 168026 0 
32 8042 83527 12088 106901 3186 4680 34684 360074 5752171 1050694 4181 3629 227 35562 0 0 166595 0 
33 15047 76740 13080 110297 2382 3501 32646 403372 5619145 589214 3375 1600 401 26733 0 0 128528 0 
34 5359 70044 8237 119041 1961 2992 36762 455275 5187622 434921 1274 3124 467 21918 0 0 108272 0 
35 7597 62084 15553 104791 5153 8673 33898 350461 4356056 290810 700 1963 139 22586 0 0 93922 91 
36 6821 89113 11276 95316 4739 1535 29745 261545 4019129 210710 901 702 19 18624 0 0 69951 0 
37 10813 69518 15598 83925 13464 2378 17699 202491 3357788 175453 754 824 299 13113 0 0 62500 0 
38 4079 60343 10825 70241 8543 3218 16273 148927 2432542 134980 980 1802 0 10954 0 0 48216 181 
39 6524 87122 21024 106351 545 4180 8789 134502 1836303 124512 710 592 116 6377 0 0 64067 0 
40 7724 110035 25468 106994 2712 4911 7084 110281 1740095 100755 497 307 116 5521 0 0 67418 0 
41 4815 104160 16789 126637 4144 340 3800 122573 1884897 106398 741 167 0 3290 0 0 38949 0 
42 3165 72131 19318 93655 6870 1521 4520 130291 1725740 93069 521 171 225 2107 0 0 19213 0 
43 2712 34871 16116 75556 6568 1217 1779 143709 1275113 104995 1320 719 0 1362 0 0 12458 0 
44 5988 33539 22290 51999 9720 1723 1334 116686 801784 113614 0 0 0 647 0 0 10651 0 
45 4586 19301 5505 41309 7822 1739 1432 81531 422434 377334 0 124 0 922 0 0 4716 0 
46 3474 18469 4881 20064 2094 2236 455 53795 248317 502659 0 0 0 83 0 0 3192 0 
47 1106 6386 2702 12143 4038 257 379 24365 157946 215916 0 0 0 293 0 0 3162 0 
48 0 2710 2297 6101 1177 0 0 13941 92524 76706 48 0 0 177 0 0 2916 0 
49 0 1034 325 2355 2438 0 0 7645 53206 57322 0 121 0 0 0 0 867 0 
50 0 1657 0 1290 922 325 0 1463 42739 33592 0 0 0 130 0 0 552 0 
51 0 106 332 1635 0 0 362 957 28980 24000 0 0 0 0 0 0 0 0 
52 541 1083 0 1566 0 0 0 475 19833 9645 0 0 0 0 0 0 368 0 
53 0 0 0 0 0 0 0 733 19577 5724 0 0 0 0 0 0 0 0 
54 0 90 0 241 0 0 0 677 12138 2927 0 0 0 0 0 0 180 0 
55 0 0 0 180 0 0 0 0 3977 1681 0 0 0 0 0 0 0 0 
56 0 138 0 0 0 0 0 0 5306 271 0 0 0 0 0 0 0 0 
57 0 0 0 0 0 0 0 0 2756 79 0 0 0 0 0 0 0 0 
58 0 0 0 0 0 0 0 0 5262 0 0 0 0 0 0 0 0 0 
59 0 0 0 24 0 0 0 0 898 317 0 0 0 0 0 0 0 0 
60 0 0 0 0 0 0 0 0 524 0 0 0 0 0 0 0 0 0 
61 0 0 0 26 0 0 0 411 422 0 0 0 0 0 0 0 0 0 
62 0 0 0 0 0 0 0 0 309 487 0 0 0 0 0 0 0 0 
63 0 0 0 0 0 0 0 0 542 0 0 0 0 0 0 0 0 0 
64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
67 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
68 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
69 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
70 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
