Div DNA/DTA DNA/DTC DNA/DTH DNA/DTM DNA/DTT DNA/Helitron LINE/unknown LTR/Copia LTR/Gypsy LTR/unknown MITE/DTA MITE/DTC MITE/DTH MITE/DTM MITE/DTT Simple_repeat Unknown 
0 10114 50492 5837 5687 0 3767 0 200604 801719 179433 1654 0 0 937 0 0 864688 
1 32254 90465 6190 19942 0 13581 2078 517659 1757079 508897 2048 459 408 609 0 0 789803 
2 37415 129605 10115 61368 1336 9392 215 840316 2641301 754233 3107 281 0 380 346 0 673739 
3 13580 183976 3673 210438 271 2576 2645 903226 4076117 1215723 6890 1032 303 1960 54 0 626416 
4 34957 189993 10266 150181 1738 1337 2554 1051235 5633195 1329280 1725 306 0 3915 139 0 400137 
5 40883 185107 4147 78685 448 1587 2165 1112177 5962350 1777893 3784 652 0 26550 0 0 359095 
6 43815 162934 6445 83558 0 3621 8229 1081582 7027948 2967346 2887 1405 0 24917 0 0 271590 
7 65769 153759 10622 113869 357 2890 1373 1098739 8075389 2632563 5941 1389 83 13306 0 0 226375 
8 46806 143073 13931 86762 1205 4203 2245 1046166 7559392 2361132 4190 1220 200 15608 171 0 202177 
9 39517 129620 16489 118269 394 6166 812 945310 7727796 2577389 4813 437 269 16827 0 0 200214 
10 20578 149237 10020 130299 200 4003 3433 778201 7887415 2689350 6494 657 0 14626 0 0 183105 
11 26625 137190 13322 111311 0 2428 1630 565460 7899259 3192636 11913 700 0 20319 0 0 182510 
12 18214 124144 12374 105663 0 8648 2325 445471 7263876 3018582 5581 595 179 23158 0 0 188087 
13 22582 125094 10196 94280 0 4053 9235 391408 7849882 2989197 6687 537 220 30258 0 0 163392 
14 17304 137910 21211 92578 69 3199 4658 377036 7524399 4070021 7234 990 135 22259 0 0 169341 
15 12060 110247 13237 83876 0 3401 1619 294843 7724046 4203746 6143 311 141 23097 0 0 173093 
16 19458 86747 15163 118503 0 6100 2821 301935 7238486 3831234 8162 1376 0 31917 0 0 143769 
17 15346 84539 9842 74785 1268 5510 5129 310033 7002345 3040511 12572 553 266 31139 0 0 157254 
18 22633 68034 8235 70978 0 4921 4640 276530 7225354 2219271 42680 1843 192 24105 0 0 159017 
19 9196 61010 9535 64655 83 6799 6948 264703 5975244 1819264 264230 1801 205 26362 0 0 152349 
20 13814 72404 8890 73357 64 7181 4805 221464 5157526 1477466 286962 1700 385 25783 0 0 162364 
21 14478 57831 5102 62701 82 7460 1675 236053 5338837 1076741 182813 2336 119 27612 0 0 334365 
