Div DNA/DTA DNA/DTC DNA/DTH DNA/DTM DNA/DTT DNA/Helitron LINE/unknown LTR/Copia LTR/Gypsy LTR/unknown MITE/DTA MITE/DTC MITE/DTH MITE/DTM MITE/DTT Simple_repeat Unknown 
0 26640 99121 7336 22924 140 691 36 370043 712823 162206 1761 0 395 2985 37 0 1341777 
1 52202 212698 13006 55018 1022 6580 8367 543897 1191210 277516 8057 191 204 964 109 0 1506561 
2 102110 289885 16959 73703 3215 13893 9880 884016 1457763 457640 12817 373 537 2828 313 0 1087137 
3 62130 306570 13838 137260 1731 6567 12169 1315600 2598415 625598 18104 446 321 3165 0 0 909209 
4 86669 358913 9003 143450 2926 7312 6817 1582583 3306448 810419 6710 1962 0 5325 0 0 898434 
5 64191 393508 16884 118061 803 5692 18279 1722890 3620117 936887 8713 736 78 14257 0 0 832575 
6 89674 361064 16976 127069 352 6198 9222 1677602 4326973 1290276 7620 2290 0 14011 0 0 803908 
7 129596 379105 24431 127530 1351 6415 6973 1717618 5265449 1502302 13903 2048 367 16589 0 0 715681 
8 101574 337494 29216 153077 2879 5691 8190 1675704 5861733 1476095 12712 833 461 21386 0 0 633952 
9 52179 372740 46267 168134 0 12162 6568 1791520 6328284 1509584 17498 1705 187 28230 0 0 603987 
10 64765 373748 57154 148904 261 12631 7580 1475775 6596385 1751114 26789 2363 311 28888 0 0 560057 
11 48021 332332 50526 149873 825 8701 10251 1177022 6925715 1776071 67010 403 189 30131 0 0 508244 
12 49010 293226 45488 123523 384 7235 6196 992811 7105830 1732390 197348 1351 143 31504 0 0 519456 
13 53372 262311 48538 119884 76 6725 10190 874925 7418297 1751475 203184 1750 522 34336 0 0 485693 
14 48122 247078 39504 121813 609 8868 10767 894475 7610661 2018539 98806 2818 395 36985 0 0 450982 
15 50414 226135 37394 128829 2196 6254 12268 765141 7502337 2351057 27657 3012 845 30830 0 0 432431 
16 41437 249157 31760 152949 0 9048 12535 739121 6958605 2101651 13465 3495 733 35327 62 0 447577 
17 42378 241503 42266 129964 0 15974 9750 798786 6655839 1745549 10454 1874 891 40542 0 0 400309 
18 34806 205984 30895 136049 87 17043 8585 752448 6174511 1385856 12272 4710 1227 40212 35 0 421635 
19 31813 170987 33355 138462 83 14908 16249 758248 5765553 1349619 7187 2643 1123 40455 0 0 421994 
20 39795 161471 26332 137216 592 18099 16746 758140 5716331 1184864 7816 5208 655 50545 0 0 442667 
21 31329 160871 27673 111070 0 11065 10782 698963 5601839 816878 5921 4161 989 53249 0 0 432296 
22 24150 168911 24561 119327 718 14099 16856 608906 5363445 758346 3958 4877 1870 58854 0 0 422620 
23 16574 155502 28622 143608 708 8769 14195 618704 5401842 675220 7131 5139 707 54278 0 0 399953 
24 18586 173104 21023 154969 520 10048 13769 534552 5357220 722621 6494 4537 967 60023 0 0 352793 
25 18906 185165 27705 158167 1138 7123 19868 503464 5466886 831465 4735 5004 1020 54174 0 0 316852 
26 17016 175942 17674 145399 444 8950 16644 496266 5169055 854279 4479 5031 1430 48855 0 0 306428 
27 18309 163459 19343 128830 982 7651 22395 544243 5240219 935320 5234 5026 1407 53944 0 0 261472 
28 16400 137367 13737 111974 1644 5313 34978 601985 5264495 1167570 4465 4682 250 46684 0 0 227338 
29 10508 106027 14963 120044 1672 6954 23123 563583 5659313 1102476 3466 5705 438 39164 0 0 230689 
30 11949 92176 8571 142996 1977 8860 21929 568818 5168386 1067537 4993 5129 142 42456 0 0 195165 
31 7941 74821 14811 134247 1277 4989 25360 467815 4767718 1434384 2522 1894 107 38845 0 0 171791 
32 6386 81834 6657 122316 3012 5909 32766 406174 4861261 1227641 3386 3338 665 29587 0 0 147892 
33 18650 78327 14602 123455 4703 6113 33148 366280 5275749 694616 2103 2328 449 30002 0 0 124121 
34 5806 73359 14587 106807 1238 3352 39754 439144 4611553 482002 1862 3200 121 18837 0 0 110515 
35 7720 73360 13899 101030 5137 5832 32428 375604 4340014 337183 958 1321 28 19521 0 0 92272 
36 7713 90478 7051 90729 7078 3607 30182 279075 4138478 212456 867 1457 97 15470 0 0 80068 
37 7723 80026 9914 81255 11919 3617 23388 218372 3404899 183658 1044 990 561 13472 0 0 93059 
38 3883 66406 20021 77181 7350 1484 10524 171027 2488601 173094 1249 1301 196 11300 0 0 99628 
39 8607 90149 15054 108361 4862 4514 6091 136239 1855994 127965 1160 899 0 7214 0 0 82305 
40 4688 114073 28424 99290 2693 1320 6469 113878 1686677 122550 1113 455 0 3299 0 0 58322 
41 6911 113329 15739 107148 5667 914 6654 134510 1837992 113646 370 631 214 3857 0 0 54578 
42 4271 73451 14585 121277 4686 2591 2024 129568 1695908 101768 662 299 0 2252 0 0 23795 
43 2441 47292 14386 81871 9390 17 2371 136744 1411464 83002 244 462 0 1476 0 0 16483 
44 2394 40748 15711 51389 7347 1527 2692 112715 951624 117197 243 18 0 867 0 0 7973 
45 2895 23268 9241 37155 9892 1282 1294 99524 538133 221164 0 29 0 280 0 0 6815 
46 989 13966 1413 22812 4839 447 351 58401 287597 341982 0 413 0 233 0 0 3851 
47 2413 9649 1307 13322 2474 1384 441 35694 156827 193714 0 42 0 164 0 0 2706 
48 1562 1845 3319 2469 1921 632 0 24884 96023 94329 0 0 0 701 0 0 1628 
49 0 1431 2119 3884 1423 0 0 12658 71361 48021 0 110 0 0 0 0 1089 
50 68 662 0 2476 127 0 178 4632 37997 37762 0 121 0 0 0 0 2214 
51 596 595 0 2634 772 0 262 3599 24398 26816 0 0 0 0 0 0 39 
