Sample,Sex,Tissue
female_apicalMeristem_L2_SRR29474907,female,Meristem
female_apicalMeristem_L2_SRR29474908,female,Meristem
female_apicalMeristem_L2_SRR29474909,female,Meristem
female_apicalMeristem_L2_SRR29474912,female,Meristem
female_apicalMeristem_L4_SRR29474897,female,Meristem
female_apicalMeristem_L4_SRR29474898,female,Meristem
female_apicalMeristem_L4_SRR29474899,female,Meristem
female_apicalMeristem_L4_SRR29474900,female,Meristem
female_apicalMeristem_L9_SRR29474901,female,Meristem
female_apicalMeristem_L9_SRR29474902,female,Meristem
female_apicalMeristem_L9_SRR29474903,female,Meristem
female_apicalMeristem_L9_SRR29474904,female,Meristem
female_flowerBud_ImmaturePlant_SRR10600891,female,Flower
female_flowerBud_MaturingPlant_SRR10600889,female,Flower
female_flowerBud_maturePlant_SRR10600893,female,Flower
female_flower_SRR12631541,female,Flower
female_flower_SRR12631542,female,Flower
female_flower_SRR12631543,female,Flower
female_flower_dried_SRR10600896,female,Flower
female_flower_stage1_SRR10600944,female,Flower
female_flower_stage2_SRR10600888,female,Flower
female_flower_stage3_SRR10600940,female,Flower
female_flower_stage4_SRR10600934,female,Flower
female_leaf_FreshCut_SRR10600901,female,Leaf
female_leaf_ImmaturePlant_SRR10600892,female,Leaf
female_leaf_MaturingPlant_SRR10600890,female,Leaf
female_leaf_ReproductivePlant_SRR10600895,female,Leaf
female_leaf_flowering_SRR26553643,female,Leaf
female_leaf_flowering_SRR26553644,female,Leaf
female_leaf_flowering_SRR26553645,female,Leaf
female_leaf_flowering_SRR26553646,female,Leaf
female_leaf_maturePlant_SRR10600898,female,Leaf
female_leaf_vegetativePlant_SRR10600887,female,Leaf
female_leaf_vegetative_SRR26553636,female,Leaf
female_leaf_vegetative_SRR26553647,female,Leaf
female_leaf_vegetative_SRR26553674,female,Leaf
female_leaf_vegetative_SRR26553683,female,Leaf
female_leaf_vegetative_SRR26553684,female,Leaf
female_rootMid_SRR10600885,female,Root
female_rootTip_SRR10600884,female,Root
female_seed_SRR15292830,female,Seed
female_stem_flowering_SRR26553637,female,Stem
female_stem_flowering_SRR26553638,female,Stem
female_stem_flowering_SRR26553639,female,Stem
female_stem_flowering_SRR26553640,female,Stem
female_stem_flowering_SRR26553641,female,Stem
female_trichome_stage1_SRR10600927,female,Trichome
female_trichome_stage2_SRR10600920,female,Trichome
female_trichome_stage3_SRR10600914,female,Trichome
female_trichome_stage4_SRR10600907,female,Trichome
male_apicalMeristem_L2_SRR29474905,male,Meristem
male_apicalMeristem_L2_SRR29474906,male,Meristem
male_apicalMeristem_L2_SRR29474910,male,Meristem
male_apicalMeristem_L2_SRR29474911,male,Meristem
male_apicalMeristem_L4_SRR29474913,male,Meristem
male_apicalMeristem_L4_SRR29474914,male,Meristem
male_apicalMeristem_L4_SRR29474915,male,Meristem
male_apicalMeristem_L4_SRR29474916,male,Meristem
male_flower_SRR10600883,male,Flower
male_flower_SRR12586213,male,Flower
male_flower_SRR12586214,male,Flower
male_flower_SRR12586215,male,Flower
male_leaf_flowering_SRR26553623,male,Leaf
male_leaf_flowering_SRR26553624,male,Leaf
male_leaf_flowering_SRR26553625,male,Leaf
male_leaf_flowering_SRR26553628,male,Leaf
male_leaf_flowering_SRR26553663,male,Leaf
male_stem_flowering_SRR26553653,male,Stem
male_stem_flowering_SRR26553654,male,Stem
male_stem_flowering_SRR26553655,male,Stem
male_stem_flowering_SRR26553656,male,Stem
male_stem_flowering_SRR26553682,male,Stem
male_stem_matureflowering_SRR26553648,male,Stem
male_stem_matureflowering_SRR26553649,male,Stem
male_stem_matureflowering_SRR26553650,male,Stem
male_stem_matureflowering_SRR26553651,male,Stem
male_stem_matureflowering_SRR26553652,male,Stem
monoecious_leaf_flowering_SRR26553633,monoecious,Leaf
monoecious_leaf_flowering_SRR26553634,monoecious,Leaf
monoecious_leaf_flowering_SRR26553635,monoecious,Leaf
monoecious_leaf_flowering_SRR26553680,monoecious,Leaf
monoecious_leaf_flowering_SRR26553681,monoecious,Leaf
monoecious_leaf_vegetative15_SRR26553664,monoecious,Leaf
monoecious_leaf_vegetative15_SRR26553665,monoecious,Leaf
monoecious_leaf_vegetative15_SRR26553666,monoecious,Leaf
monoecious_leaf_vegetative15_SRR26553667,monoecious,Leaf
monoecious_leaf_vegetative15_SRR26553668,monoecious,Leaf
monoecious_leaf_vegetative24_SRR26553669,monoecious,Leaf
monoecious_leaf_vegetative24_SRR26553670,monoecious,Leaf
monoecious_leaf_vegetative24_SRR26553671,monoecious,Leaf
monoecious_leaf_vegetative24_SRR26553672,monoecious,Leaf
monoecious_leaf_vegetative24_SRR26553673,monoecious,Leaf
monoecious_leaf_vegetative_SRR26553660,monoecious,Leaf
monoecious_leaf_vegetative_SRR26553661,monoecious,Leaf
monoecious_leaf_vegetative_SRR26553662,monoecious,Leaf
monoecious_stem_flowering_SRR26553675,monoecious,Stem
monoecious_stem_flowering_SRR26553676,monoecious,Stem
monoecious_stem_flowering_SRR26553677,monoecious,Stem
monoecious_stem_flowering_SRR26553678,monoecious,Stem
monoecious_stem_flowering_SRR26553679,monoecious,Stem
