Genotype,Sex,ChrY_cov,,,,,geno_match_temp,Isolate_covFileName
8412_198,0,0.00074375,,,,,8412_198,S.8412.198.R1.match.sdr.cov.txt
8412_483,1,0.00642375,,,,,8412_483,S.8412.male.R1.match.sdr.cov.txt
8412_374,0,0.0104275,,,,,8412_374,S.8412.378.R1.match.sdr.cov.txt
8415_400,3,0.012725,,,,,8415_4,S.8415.404.R1.match.sdr.cov.txt
8412_336,1,0.0149512,,,,,8412_336,S.8412.34.R1.match.sdr.cov.txt
8412_286,4,0.0190962,,,,,8412_286,S.8412.286.R1.match.sdr.cov.txt
8412_292,0,0.0204725,,,,,8412_292,S.8412.292.R1.match.sdr.cov.txt
8412_302,3,0.0256625,,,,,8412_302,S.8412.302.R1.match.sdr.cov.txt
8412_300,1,0.0312487,,,,,8412_300,S.8412.3.R1.match.sdr.cov.txt
8415_285,2,0.04273,,,,,8415_285,S.8415.289.R1.match.sdr.cov.txt
8412_289,1,0.0436762,,,,,8412_289,S.8412.289.R1.match.sdr.cov.txt
8412_308,2,0.0438512,,,,,8412_308,S.8412.308.R1.match.sdr.cov.txt
8415_180,2,0.0445962,,,,,8415_18,S.8415.184.R1.match.sdr.cov.txt
8415_178,2,0.0505787,,,,,8415_178,S.8415.182.R1.match.sdr.cov.txt
8415_179,2,0.0535737,,,,,8415_179,S.8415.183.R1.match.sdr.cov.txt
8415_181,0,0.0633762,,,,,8415_181,S.8415.185.R1.match.sdr.cov.txt
8412_363,1,0.0638325,,,,,8412_363,S.8412.367.R1.match.sdr.cov.txt
8412_379,2,0.0648775,,,,,8412_379,S.8412.383.R1.match.sdr.cov.txt
8412_318,2,0.0683487,,,,,8412_318,S.8412.322.R1.match.sdr.cov.txt
8412_364,3,0.0687912,,,,,8412_364,S.8412.368.R1.match.sdr.cov.txt
8415_182,0,0.0691687,,,,,8415_182,S.8415.186.R1.match.sdr.cov.txt
8415_170,0,0.0705762,,,,,8415_17,S.8415.174.R1.match.sdr.cov.txt
8415_175,3,0.0708375,,,,,8415_175,S.8415.179.R1.match.sdr.cov.txt
8415_185,2,0.0715312,,,,,8415_185,S.8415.189.R1.match.sdr.cov.txt
8412_293,0,0.0720612,,,,,8412_293,S.8412.293.R1.match.sdr.cov.txt
8415_301,0,0.0727225,,,,,8415_301,S.8415.305.R1.match.sdr.cov.txt
8415_174,4,0.0748125,,,,,8415_174,S.8415.178.R1.match.sdr.cov.txt
8412_398,0,0.0770137,,,,,8412_398,S.8412.402.R1.match.sdr.cov.txt
