Sample,Sex,Tissue,Tissue_stage,Tissue_stage_sex
female_apicalMeristem_L2_SRR29474907,female,apicalMeristem,apicalMeristem_L2,apicalMeristem_L2_female
female_apicalMeristem_L2_SRR29474908,female,apicalMeristem,apicalMeristem_L2,apicalMeristem_L2_female
female_apicalMeristem_L2_SRR29474909,female,apicalMeristem,apicalMeristem_L2,apicalMeristem_L2_female
female_apicalMeristem_L2_SRR29474912,female,apicalMeristem,apicalMeristem_L2,apicalMeristem_L2_female
female_apicalMeristem_L4_SRR29474897,female,apicalMeristem,apicalMeristem_L4,apicalMeristem_L4_female
female_apicalMeristem_L4_SRR29474898,female,apicalMeristem,apicalMeristem_L4,apicalMeristem_L4_female
female_apicalMeristem_L4_SRR29474899,female,apicalMeristem,apicalMeristem_L4,apicalMeristem_L4_female
female_apicalMeristem_L4_SRR29474900,female,apicalMeristem,apicalMeristem_L4,apicalMeristem_L4_female
female_apicalMeristem_L9_SRR29474901,female,apicalMeristem,apicalMeristem_L9,apicalMeristem_L9_female
female_apicalMeristem_L9_SRR29474902,female,apicalMeristem,apicalMeristem_L9,apicalMeristem_L9_female
female_apicalMeristem_L9_SRR29474903,female,apicalMeristem,apicalMeristem_L9,apicalMeristem_L9_female
female_apicalMeristem_L9_SRR29474904,female,apicalMeristem,apicalMeristem_L9,apicalMeristem_L9_female
female_leaf_flowering_SRR26553643,female,leaf,leaf_flowering,leaf_flowering_female
female_leaf_flowering_SRR26553644,female,leaf,leaf_flowering,leaf_flowering_female
female_leaf_flowering_SRR26553645,female,leaf,leaf_flowering,leaf_flowering_female
female_leaf_flowering_SRR26553646,female,leaf,leaf_flowering,leaf_flowering_female
female_leaf_vegetative_SRR26553636,female,leaf,leaf_vegetative,leaf_vegetative_female
female_leaf_vegetative_SRR26553647,female,leaf,leaf_vegetative,leaf_vegetative_female
female_leaf_vegetative_SRR26553674,female,leaf,leaf_vegetative,leaf_vegetative_female
female_leaf_vegetative_SRR26553683,female,leaf,leaf_vegetative,leaf_vegetative_female
female_leaf_vegetative_SRR26553684,female,leaf,leaf_vegetative,leaf_vegetative_female
female_stem_flowering_SRR26553637,female,stem,stem_flowering,stem_flowering_female
female_stem_flowering_SRR26553638,female,stem,stem_flowering,stem_flowering_female
female_stem_flowering_SRR26553639,female,stem,stem_flowering,stem_flowering_female
female_stem_flowering_SRR26553640,female,stem,stem_flowering,stem_flowering_female
female_stem_flowering_SRR26553641,female,stem,stem_flowering,stem_flowering_female
male_apicalMeristem_L2_SRR29474905,male,apicalMeristem,apicalMeristem_L2,apicalMeristem_L2_male
male_apicalMeristem_L2_SRR29474906,male,apicalMeristem,apicalMeristem_L2,apicalMeristem_L2_male
male_apicalMeristem_L2_SRR29474910,male,apicalMeristem,apicalMeristem_L2,apicalMeristem_L2_male
male_apicalMeristem_L2_SRR29474911,male,apicalMeristem,apicalMeristem_L2,apicalMeristem_L2_male
male_apicalMeristem_L4_SRR29474913,male,apicalMeristem,apicalMeristem_L4,apicalMeristem_L4_male
male_apicalMeristem_L4_SRR29474914,male,apicalMeristem,apicalMeristem_L4,apicalMeristem_L4_male
male_apicalMeristem_L4_SRR29474915,male,apicalMeristem,apicalMeristem_L4,apicalMeristem_L4_male
male_apicalMeristem_L4_SRR29474916,male,apicalMeristem,apicalMeristem_L4,apicalMeristem_L4_male
male_leaf_flowering_SRR26553623,male,leaf,leaf_flowering,leaf_flowering_male
male_leaf_flowering_SRR26553624,male,leaf,leaf_flowering,leaf_flowering_male
male_leaf_flowering_SRR26553625,male,leaf,leaf_flowering,leaf_flowering_male
male_leaf_flowering_SRR26553628,male,leaf,leaf_flowering,leaf_flowering_male
male_leaf_flowering_SRR26553663,male,leaf,leaf_flowering,leaf_flowering_male
male_stem_flowering_SRR26553653,male,stem,stem_flowering,stem_flowering_male
male_stem_flowering_SRR26553654,male,stem,stem_flowering,stem_flowering_male
male_stem_flowering_SRR26553655,male,stem,stem_flowering,stem_flowering_male
male_stem_flowering_SRR26553656,male,stem,stem_flowering,stem_flowering_male
male_stem_flowering_SRR26553682,male,stem,stem_flowering,stem_flowering_male
male_stem_matureflowering_SRR26553648,male,stem,stem_matureFlowering,stem_matureFlowering_male
male_stem_matureflowering_SRR26553649,male,stem,stem_matureFlowering,stem_matureFlowering_male
male_stem_matureflowering_SRR26553650,male,stem,stem_matureFlowering,stem_matureFlowering_male
male_stem_matureflowering_SRR26553651,male,stem,stem_matureFlowering,stem_matureFlowering_male
male_stem_matureflowering_SRR26553652,male,stem,stem_matureFlowering,stem_matureFlowering_male
monoecious_leaf_flowering_SRR26553633,monoecious,leaf,leaf_flowering,leaf_flowering_monoecious
