Chromosome,Position,Contrast
ChrX,28660310,0to4
ChrX,77626118,0to4
ChrX,78281383,0to4
ChrX,78284268,0to4
ChrX,78288103,0to4
ChrX,79226507,0to4
ChrX,79226529,0to4
ChrX,80561015,0to4
ChrX,83396972,0to4
ChrX,83398203,0to4
ChrX,84118971,0to4
ChrX,24980967,0toAllMonoecious
ChrX,24980998,0toAllMonoecious
ChrX,24981980,0toAllMonoecious
ChrX,33879197,0toAllMonoecious
ChrX,58718106,0toAllMonoecious
ChrX,77637719,0toAllMonoecious
ChrX,78281383,0toAllMonoecious
ChrX,78284268,0toAllMonoecious
ChrX,78287971,0toAllMonoecious
ChrX,78288103,0toAllMonoecious
ChrX,78288169,0toAllMonoecious
ChrX,78288464,0toAllMonoecious
ChrX,78288638,0toAllMonoecious
ChrX,78288769,0toAllMonoecious
ChrX,79226358,0toAllMonoecious
ChrX,79226362,0toAllMonoecious
ChrX,79226476,0toAllMonoecious
ChrX,79226507,0toAllMonoecious
ChrX,81741939,0toAllMonoecious
