,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Start,Stop,Chromosome
OIIa.chrY.v1.g385990,19.69337068,-0.359133858,0.592821028,-0.605804856,0.544644345,0.772143814,31481196,31483046,ChrY
OIIa.chrY.v1.g386050,0,NA,NA,NA,NA,NA,31554453,31554866,ChrY
OIIa.chrY.v1.g386070,0,NA,NA,NA,NA,NA,31572413,31573150,ChrY
OIIa.chrY.v1.g386090,0.10085661,0,8.775233444,0,1,NA,31578761,31579403,ChrY
OIIa.chrY.v1.g386100,230.7450651,-3.811924544,0.515142391,-7.399749299,1.36E-13,2.59E-11,31625993,31627824,ChrY
OIIa.chrY.v1.g386110,0,NA,NA,NA,NA,NA,31751414,31751620,ChrY
OIIa.chrY.v1.g386120,0,NA,NA,NA,NA,NA,32048221,32048601,ChrY
OIIa.chrY.v1.g386170,0,NA,NA,NA,NA,NA,32337112,32337849,ChrY
OIIa.chrY.v1.g386180,0,NA,NA,NA,NA,NA,32338060,32338882,ChrY
OIIa.chrY.v1.g386190,0,NA,NA,NA,NA,NA,32383684,32384163,ChrY
OIIa.chrY.v1.g386200,0,NA,NA,NA,NA,NA,32384197,32384961,ChrY
OIIa.chrY.v1.g386210,0,NA,NA,NA,NA,NA,32538672,32539085,ChrY
OIIa.chrY.v1.g386230,1.941077758,0,4.642586566,0,1,1,32664988,32665471,ChrY
OIIa.chrY.v1.g386240,40.81410053,0.065096573,1.920561615,0.033894551,0.972961239,1,32706588,32710498,ChrY
OIIa.chrY.v1.g386250,4.997123949,-0.738953352,2.189653226,-0.337475059,0.73575881,0.893242955,32710578,32713671,ChrY
OIIa.chrY.v1.g386260,0,NA,NA,NA,NA,NA,32734724,32735056,ChrY
OIIa.chrY.v1.g386270,0,NA,NA,NA,NA,NA,32784892,32785350,ChrY
OIIa.chrY.v1.g386280,0,NA,NA,NA,NA,NA,32794800,32795027,ChrY
OIIa.chrY.v1.g386290,0,NA,NA,NA,NA,NA,32816288,32816527,ChrY
OIIa.chrY.v1.g386300,0.06324548,-2.93852485,8.734679868,-0.336420441,0.736553837,NA,32817212,32818646,ChrY
OIIa.chrY.v1.g386310,0,NA,NA,NA,NA,NA,32871747,32872586,ChrY
OIIa.chrY.v1.g386370,0,NA,NA,NA,NA,NA,33018009,33018654,ChrY
OIIa.chrY.v1.g386380,0,NA,NA,NA,NA,NA,33090777,33091439,ChrY
OIIa.chrY.v1.g386390,0,NA,NA,NA,NA,NA,33136900,33137142,ChrY
OIIa.chrY.v1.g386400,0,NA,NA,NA,NA,NA,33140695,33141003,ChrY
OIIa.chrY.v1.g386410,0,NA,NA,NA,NA,NA,33168108,33168311,ChrY
OIIa.chrY.v1.g386420,0.092133605,1.601153539,8.772448607,0.182520709,0.855174104,NA,33199783,33200355,ChrY
OIIa.chrY.v1.g386430,0,NA,NA,NA,NA,NA,33345243,33346121,ChrY
OIIa.chrY.v1.g386450,0,NA,NA,NA,NA,NA,33347651,33348592,ChrY
OIIa.chrY.v1.g386530,0,NA,NA,NA,NA,NA,33893403,33893835,ChrY
OIIa.chrY.v1.g386540,0.086882609,0.884021438,8.775233444,0.100740504,0.919756458,NA,34002756,34003127,ChrY
OIIa.chrY.v1.g386590,28.9310017,-3.390956595,2.17590999,-1.558408487,0.119136446,0.31129248,34201647,34203706,ChrY
OIIa.chrY.v1.g386600,0,NA,NA,NA,NA,NA,34221590,34221874,ChrY
OIIa.chrY.v1.g386610,0,NA,NA,NA,NA,NA,34269260,34269469,ChrY
OIIa.chrY.v1.g386620,0,NA,NA,NA,NA,NA,34373221,34373505,ChrY
OIIa.chrY.v1.g386640,0,NA,NA,NA,NA,NA,34616265,34616540,ChrY
OIIa.chrY.v1.g386650,0,NA,NA,NA,NA,NA,34618200,34618679,ChrY
OIIa.chrY.v1.g386660,0,NA,NA,NA,NA,NA,34917215,34917451,ChrY
OIIa.chrY.v1.g386670,51.83230578,0.973635387,0.42637243,2.283532705,0.022399009,0.098107286,34930218,34930899,ChrY
OIIa.chrY.v1.g386680,0,NA,NA,NA,NA,NA,35002456,35003850,ChrY
OIIa.chrY.v1.g386690,6.009702095,-4.546092734,1.319969563,-3.444089062,0.000572987,0.006519194,35035566,35036523,ChrY
OIIa.chrY.v1.g386700,6.434557435,-4.615153564,1.425036778,-3.238620669,0.001201092,0.011310641,35036577,35037961,ChrY
OIIa.chrY.v1.g386780,0,NA,NA,NA,NA,NA,35214406,35214663,ChrY
OIIa.chrY.v1.g386790,0.245282732,-2.670870315,8.73853315,-0.305642866,0.759876579,NA,35307709,35308068,ChrY
OIIa.chrY.v1.g386800,0.215953743,-2.670870315,8.73853315,-0.305642866,0.759876579,NA,35338069,35338407,ChrY
OIIa.chrY.v1.g386860,2738.098697,-13.87054734,1.24995393,-11.09684686,1.30E-28,7.21E-26,35675166,35676176,ChrY
OIIa.chrY.v1.g386920,0,NA,NA,NA,NA,NA,35939849,35940109,ChrY
OIIa.chrY.v1.g386930,0.127563161,0,8.775233444,0,1,NA,36622662,36624976,ChrY
OIIa.chrY.v1.g386940,87.20393513,-0.99416356,1.827207396,-0.544089063,0.586380186,0.800451928,36696752,36697321,ChrY
OIIa.chrY.v1.g386970,63.18350072,0.698845086,1.468730134,0.475815856,0.634205573,0.833209191,37039395,37041184,ChrY
OIIa.chrY.v1.g386980,0,NA,NA,NA,NA,NA,37151908,37153233,ChrY
OIIa.chrY.v1.g386990,0,NA,NA,NA,NA,NA,37153276,37153659,ChrY
OIIa.chrY.v1.g387000,0,NA,NA,NA,NA,NA,37307080,37308029,ChrY
OIIa.chrY.v1.g387010,0,NA,NA,NA,NA,NA,37343589,37344508,ChrY
OIIa.chrY.v1.g387040,0.291087787,3.05140855,8.737748751,0.349221365,0.726923127,NA,37463446,37463820,ChrY
OIIa.chrY.v1.g387050,1322.176205,-3.547657819,0.741966624,-4.781425074,1.74E-06,6.33E-05,37511712,37518115,ChrY
OIIa.chrY.v1.g387060,0,NA,NA,NA,NA,NA,37722398,37722604,ChrY
OIIa.chrY.v1.g387080,0,NA,NA,NA,NA,NA,38325910,38326110,ChrY
OIIa.chrY.v1.g387090,64.82933851,-10.15181615,1.062619963,-9.553571833,1.25E-21,4.26E-19,38450205,38451425,ChrY
OIIa.chrY.v1.g387140,0.033140331,-0.558618053,8.775233444,-0.063658483,0.949242163,NA,38638361,38639521,ChrY
OIIa.chrY.v1.g387180,254.3443321,-11.18054762,1.052994068,-10.61786382,2.46E-26,1.15E-23,39300104,39300856,ChrY
OIIa.chrY.v1.g387190,0,NA,NA,NA,NA,NA,39935548,39935757,ChrY
OIIa.chrY.v1.g387200,0.015675883,0,8.775233444,0,1,NA,40102010,40102318,ChrY
OIIa.chrY.v1.g387210,0.026196007,-0.558618053,8.775233444,-0.063658483,0.949242163,NA,40102315,40102665,ChrY
OIIa.chrY.v1.g387220,0,NA,NA,NA,NA,NA,40108697,40109005,ChrY
OIIa.chrY.v1.g387230,0,NA,NA,NA,NA,NA,40110553,40110867,ChrY
OIIa.chrY.v1.g387240,0,NA,NA,NA,NA,NA,40249786,40250040,ChrY
OIIa.chrY.v1.g387250,8.672429874,2.510969012,2.160006695,1.162482051,0.245039711,0.493582298,40284669,40286871,ChrY
OIIa.chrY.v1.g387260,0,NA,NA,NA,NA,NA,40299799,40300104,ChrY
OIIa.chrY.v1.g387270,0,NA,NA,NA,NA,NA,40409613,40409918,ChrY
OIIa.chrY.v1.g387280,0,NA,NA,NA,NA,NA,40413520,40413762,ChrY
OIIa.chrY.v1.g387400,0,NA,NA,NA,NA,NA,40740402,40740608,ChrY
OIIa.chrY.v1.g387410,4.256585228,-7.162523048,2.41067796,-2.971165443,0.002966719,0.022632902,40782846,40783075,ChrY
OIIa.chrY.v1.g387460,681.533425,-13.69960446,1.028718663,-13.31715362,1.84E-40,6.46E-37,41123943,41126300,ChrY
OIIa.chrY.v1.g387470,0,NA,NA,NA,NA,NA,41192981,41193208,ChrY
OIIa.chrY.v1.g387490,0,NA,NA,NA,NA,NA,41622132,41622449,ChrY
