chromosome,window_pos_1,window_pos_2,fst_FvsMono,fst_chemotypes_femalesOnly,fst_FvsMono_outlier,fst_chemotypes_femalesOnly_outlier
Chr01,0,100000,0.140522825,0.050154572,Not,Not
Chr01,10000,110000,0.145601113,0.054907701,Not,Not
Chr01,20000,120000,0.161222811,0.071062609,Not,Not
Chr01,30000,130000,0.155670584,0.069246301,Not,Not
Chr01,40000,140000,0.164774902,0.067136891,Not,Not
Chr01,50000,150000,0.196256428,0.065711822,Not,Not
Chr01,60000,160000,0.186125512,0.067107027,Not,Not
Chr01,70000,170000,0.185110008,0.068843413,Not,Not
Chr01,80000,180000,0.181925917,0.073549492,Not,Not
Chr01,90000,190000,0.205395677,0.076713282,Not,Not
Chr01,100000,200000,0.214184646,0.081793328,Not,Not
Chr01,110000,210000,0.228753579,0.082567107,Not,Not
Chr01,120000,220000,0.23760977,0.080257332,Not,Not
Chr01,130000,230000,0.217885188,0.081543121,Not,Not
Chr01,140000,240000,0.193608632,0.094206965,Not,Not
Chr01,150000,250000,0.063612437,0.094021448,Not,Not
Chr01,160000,260000,0.054515487,0.075572722,Not,Not
Chr01,170000,270000,0.053979728,0.072320605,Not,Not
Chr01,180000,280000,0.113870361,0.072168877,Not,Not
Chr01,190000,290000,0.121463023,0.06672194,Not,Not
Chr01,200000,300000,0.121463023,0.06672194,Not,Not
Chr01,210000,310000,0.121463023,0.06672194,Not,Not
Chr01,220000,320000,0.121463023,0.06672194,Not,Not
Chr01,230000,330000,0.15506975,0.072659524,Not,Not
Chr01,240000,340000,0.189353824,0.038687548,Not,Not
Chr01,250000,350000,0.224328909,0.032051435,Not,Not
Chr01,260000,360000,0.194631649,0.030877785,Not,Not
Chr01,270000,370000,0.201367604,0.037546931,Not,Not
Chr01,280000,380000,0.083475959,0.078588567,Not,Not
Chr01,290000,390000,0.047851725,0.097431938,Not,Not
Chr01,300000,400000,0.047851725,0.097431938,Not,Not
Chr01,310000,410000,0.047851725,0.097431938,Not,Not
Chr01,320000,420000,0.047851725,0.097431938,Not,Not
Chr01,330000,430000,0.048099312,0.097681903,Not,Not
Chr01,340000,440000,0.038482408,0.113471929,Not,Not
Chr01,350000,450000,0.02368971,0.125629312,Not,Not
Chr01,360000,460000,0.044271458,0.178198425,Not,Not
Chr01,370000,470000,0.053504563,0.187422192,Not,Not
Chr01,430000,530000,0.019016608,0.042437344,Not,Not
Chr01,440000,540000,0.019016608,0.042437344,Not,Not
Chr01,450000,550000,0.019016608,0.042437344,Not,Not
Chr01,460000,560000,0.019016608,0.042437344,Not,Not
Chr01,470000,570000,0.019016608,0.042437344,Not,Not
Chr01,480000,580000,0.019016608,0.042437344,Not,Not
Chr01,490000,590000,0.019016608,0.042437344,Not,Not
Chr01,500000,600000,0.019016608,0.042437344,Not,Not
Chr01,510000,610000,0.024947166,0.072313718,Not,Not
Chr01,520000,620000,0.024947166,0.072313718,Not,Not
Chr01,530000,630000,0.081346836,0.32673632,Not,Outlier
Chr01,540000,640000,0.081346836,0.32673632,Not,Outlier
Chr01,550000,650000,0.081346836,0.32673632,Not,Outlier
Chr01,560000,660000,0.081346836,0.32673632,Not,Outlier
Chr01,570000,670000,0.081346836,0.32673632,Not,Outlier
Chr01,580000,680000,0.081346836,0.32673632,Not,Outlier
Chr01,590000,690000,0.081346836,0.32673632,Not,Outlier
Chr01,600000,700000,0.081346836,0.32673632,Not,Outlier
Chr01,630000,730000,-0.030278105,0.124745725,Not,Not
Chr01,640000,740000,0.51733729,0.059221515,Outlier,Not
Chr01,650000,750000,0.51733729,0.059221515,Outlier,Not
Chr01,660000,760000,0.51733729,0.059221515,Outlier,Not
Chr01,670000,770000,0.51733729,0.059221515,Outlier,Not
Chr01,680000,780000,0.51733729,0.059221515,Outlier,Not
Chr01,690000,790000,0.51733729,0.059221515,Outlier,Not
Chr01,700000,800000,0.51733729,0.059221515,Outlier,Not
Chr01,710000,810000,0.51733729,0.059221515,Outlier,Not
Chr01,720000,820000,0.51733729,0.059221515,Outlier,Not
Chr01,730000,830000,0.530938978,0.054829487,Outlier,Not
Chr01,740000,840000,0.012116901,0.125312279,Not,Not
Chr01,750000,850000,-0.01439495,0.196785674,Not,Not
Chr01,760000,860000,-0.01439495,0.196785674,Not,Not
Chr01,770000,870000,-0.01439495,0.196785674,Not,Not
Chr01,780000,880000,-0.01439495,0.196785674,Not,Not
Chr01,790000,890000,-0.01439495,0.196785674,Not,Not
Chr01,800000,900000,-0.01439495,0.196785674,Not,Not
Chr01,810000,910000,-0.01439495,0.196785674,Not,Not
Chr01,820000,920000,-0.01439495,0.196785674,Not,Not
Chr01,830000,930000,-0.01439495,0.196785674,Not,Not
Chr01,840000,940000,-0.017582718,0.20568394,Not,Not
Chr01,960000,1060000,0.037182077,-0.007152141,Not,Not
Chr01,970000,1070000,0.012847836,0.051562298,Not,Not
Chr01,980000,1080000,0.012847836,0.051562298,Not,Not
Chr01,990000,1090000,0.066364821,0.045187832,Not,Not
Chr01,1000000,1100000,0.277365742,0.04398709,Not,Not
Chr01,1010000,1110000,0.277365742,0.04398709,Not,Not
Chr01,1020000,1120000,0.277365742,0.04398709,Not,Not
Chr01,1030000,1130000,0.277365742,0.04398709,Not,Not
Chr01,1040000,1140000,0.277365742,0.04398709,Not,Not
Chr01,1050000,1150000,0.251267682,0.040695609,Not,Not
Chr01,1060000,1160000,0.255014989,0.033239158,Not,Not
Chr01,1070000,1170000,0.213995246,0.023459308,Not,Not
Chr01,1080000,1180000,0.199307453,0.027989493,Not,Not
Chr01,1090000,1190000,0.197720912,0.03891096,Not,Not
Chr01,1100000,1200000,0.194166895,0.052562019,Not,Not
Chr01,1110000,1210000,0.197467315,0.059964079,Not,Not
Chr01,1120000,1220000,0.19153573,0.061477705,Not,Not
Chr01,1130000,1230000,0.181561178,0.06110842,Not,Not
Chr01,1140000,1240000,0.144455588,0.048101109,Not,Not
Chr01,1150000,1250000,0.146140571,0.048606273,Not,Not
Chr01,1160000,1260000,0.178625096,0.048790593,Not,Not
Chr01,1170000,1270000,0.185393891,0.050642525,Not,Not
Chr01,1180000,1280000,0.190279976,0.051362536,Not,Not
Chr01,1190000,1290000,0.182046285,0.048211459,Not,Not
Chr01,1200000,1300000,0.18057523,0.044542989,Not,Not
Chr01,1210000,1310000,0.191209206,0.042815712,Not,Not
Chr01,1220000,1320000,0.194437122,0.041245441,Not,Not
Chr01,1230000,1330000,0.197761764,0.039221758,Not,Not
Chr01,1240000,1340000,0.234527736,0.047866259,Not,Not
Chr01,1250000,1350000,0.217897412,0.053930646,Not,Not
Chr01,1260000,1360000,0.185424658,0.056197289,Not,Not
Chr01,1270000,1370000,0.187148885,0.061555529,Not,Not
Chr01,1280000,1380000,0.180761348,0.062678334,Not,Not
Chr01,1290000,1390000,0.185016615,0.063882352,Not,Not
Chr01,1300000,1400000,0.182088644,0.06577022,Not,Not
Chr01,1310000,1410000,0.15958899,0.069209258,Not,Not
Chr01,1320000,1420000,0.160696327,0.071462798,Not,Not
Chr01,1330000,1430000,0.164249546,0.07336812,Not,Not
Chr01,1340000,1440000,0.171316541,0.075182578,Not,Not
Chr01,1350000,1450000,0.18770379,0.075634992,Not,Not
Chr01,1360000,1460000,0.188077478,0.078972517,Not,Not
Chr01,1370000,1470000,0.179150007,0.077964351,Not,Not
Chr01,1380000,1480000,0.182506701,0.082087605,Not,Not
Chr01,1390000,1490000,0.181582247,0.082320236,Not,Not
Chr01,1400000,1500000,0.185407882,0.082496064,Not,Not
Chr01,1410000,1510000,0.194654332,0.081538296,Not,Not
Chr01,1420000,1520000,0.195164343,0.081636623,Not,Not
Chr01,1430000,1530000,0.196715507,0.079765317,Not,Not
Chr01,1440000,1540000,0.187177147,0.08269652,Not,Not
Chr01,1450000,1550000,0.185254621,0.0818998,Not,Not
Chr01,1460000,1560000,0.162860038,0.069236643,Not,Not
Chr01,1470000,1570000,0.154913547,0.072129235,Not,Not
Chr01,1480000,1580000,0.152575897,0.070446977,Not,Not
Chr01,1490000,1590000,0.155878502,0.073127012,Not,Not
Chr01,1500000,1600000,0.152895321,0.073232679,Not,Not
Chr01,1510000,1610000,0.1505739,0.072504467,Not,Not
Chr01,1520000,1620000,0.157994405,0.067934306,Not,Not
Chr01,1530000,1630000,0.163748102,0.066547078,Not,Not
Chr01,1540000,1640000,0.166368429,0.062133226,Not,Not
Chr01,1550000,1650000,0.163901668,0.056894934,Not,Not
Chr01,1560000,1660000,0.176718779,0.063316143,Not,Not
Chr01,1570000,1670000,0.180012429,0.058624305,Not,Not
Chr01,1580000,1680000,0.169597551,0.050469991,Not,Not
Chr01,1590000,1690000,0.169901975,0.049331338,Not,Not
Chr01,1600000,1700000,0.170746224,0.047850098,Not,Not
Chr01,1610000,1710000,0.160044345,0.051264625,Not,Not
Chr01,1620000,1720000,0.149778168,0.057050433,Not,Not
Chr01,1630000,1730000,0.143134379,0.06425277,Not,Not
Chr01,1640000,1740000,0.142211741,0.063841055,Not,Not
Chr01,1650000,1750000,0.144694146,0.064754096,Not,Not
Chr01,1660000,1760000,0.142566516,0.057082583,Not,Not
Chr01,1670000,1770000,0.144334066,0.051114995,Not,Not
Chr01,1680000,1780000,0.15109138,0.054887557,Not,Not
Chr01,1690000,1790000,0.163377498,0.053448176,Not,Not
Chr01,1700000,1800000,0.171606357,0.05675025,Not,Not
Chr01,1710000,1810000,0.172628395,0.056155203,Not,Not
Chr01,1720000,1820000,0.168092926,0.054834712,Not,Not
Chr01,1730000,1830000,0.14971622,0.057173172,Not,Not
Chr01,1740000,1840000,0.151851167,0.060255114,Not,Not
Chr01,1750000,1850000,0.15507069,0.063054763,Not,Not
Chr01,1760000,1860000,0.149866354,0.070707992,Not,Not
Chr01,1770000,1870000,0.142938769,0.078038162,Not,Not
Chr01,1780000,1880000,0.14116585,0.080535944,Not,Not
Chr01,1790000,1890000,0.129090011,0.083488448,Not,Not
Chr01,1800000,1900000,0.120532207,0.083023268,Not,Not
Chr01,1810000,1910000,0.123287673,0.080824618,Not,Not
Chr01,1820000,1920000,0.116730051,0.078200691,Not,Not
Chr01,1830000,1930000,0.140446701,0.073499894,Not,Not
Chr01,1840000,1940000,0.154164666,0.07010941,Not,Not
Chr01,1850000,1950000,0.151310462,0.069700701,Not,Not
Chr01,1860000,1960000,0.160104003,0.072614361,Not,Not
Chr01,1870000,1970000,0.171265598,0.06891561,Not,Not
Chr01,1880000,1980000,0.163726207,0.069169263,Not,Not
Chr01,1890000,1990000,0.164917601,0.067444939,Not,Not
Chr01,1900000,2000000,0.162292921,0.06614649,Not,Not
Chr01,1910000,2010000,0.161950662,0.064789824,Not,Not
Chr01,1920000,2020000,0.158311713,0.065059854,Not,Not
Chr01,1930000,2030000,0.133994648,0.066267049,Not,Not
Chr01,1940000,2040000,0.114663675,0.06747439,Not,Not
Chr01,1950000,2050000,0.102094431,0.058592322,Not,Not
Chr01,1960000,2060000,0.100581273,0.050279682,Not,Not
