Ka,Ks,Ka/Ks,HAP1,HAP2,Start,Stop,Chromosome_real,Chromosome,Start_real,Stop_real,Compartment
0.000293387,0.0092733,0.0316378,OIIa.chrY.v1.g364980.t1,OIIb.chrX.v1.g390600.t1,1541991,1549023,ChrX,otto_ChrX,1541991,1549023,PAR
0.0025998,5.33E-05,48.7984,OIIa.chrY.v1.g364990.t1,OIIb.chrX.v1.g390610.t1,1550019,1550660,ChrX,otto_ChrX,1550019,1550660,PAR
NA,NA,NA,OIIa.chrY.v1.g365000.t1,OIIb.chrX.v1.g390620.t1,1551831,1554155,ChrX,otto_ChrX,1551831,1554155,PAR
NA,NA,NA,OIIa.chrY.v1.g365030.t1,OIIb.chrX.v1.g390640.t1,1570494,1572491,ChrX,otto_ChrX,1570494,1572491,PAR
2.67E-06,0.00267349,0.001,OIIa.chrY.v1.g365040.t1,OIIb.chrX.v1.g390650.t1,1574412,1576283,ChrX,otto_ChrX,1574412,1576283,PAR
0.00141237,0.00528222,0.267382,OIIa.chrY.v1.g365050.t1,OIIb.chrX.v1.g390660.t1,1577155,1579457,ChrX,otto_ChrX,1577155,1579457,PAR
NA,NA,NA,OIIa.chrY.v1.g365070.t1,OIIb.chrX.v1.g390680.t1,1584637,1586085,ChrX,otto_ChrX,1584637,1586085,PAR
8.40E-06,0.00840169,0.001,OIIa.chrY.v1.g365080.t1,OIIb.chrX.v1.g390690.t1,1587380,1588636,ChrX,otto_ChrX,1587380,1588636,PAR
1.99E-05,0.0198751,0.001,OIIa.chrY.v1.g365090.t1,OIIb.chrX.v1.g390700.t1,1589879,1592295,ChrX,otto_ChrX,1589879,1592295,PAR
8.39E-06,0.00838841,0.001,OIIa.chrY.v1.g365100.t1,OIIb.chrX.v1.g390710.t1,1594314,1595465,ChrX,otto_ChrX,1594314,1595465,PAR
0.00364399,0.00384418,0.947926,OIIa.chrY.v1.g365110.t1,OIIb.chrX.v1.g390720.t1,1596736,1602741,ChrX,otto_ChrX,1596736,1602741,PAR
NA,NA,NA,OIIa.chrY.v1.g365120.t1,OIIb.chrX.v1.g390730.t1,1603070,1604712,ChrX,otto_ChrX,1603070,1604712,PAR
0.00150715,0.00600949,0.250795,OIIa.chrY.v1.g365130.t1,OIIb.chrX.v1.g390740.t1,1608509,1610368,ChrX,otto_ChrX,1608509,1610368,PAR
0.000561469,0.0015119,0.371368,OIIa.chrY.v1.g365140.t1,OIIb.chrX.v1.g390750.t1,1612531,1616076,ChrX,otto_ChrX,1612531,1616076,PAR
0.00710732,0.00674471,1.05376,OIIa.chrY.v1.g365150.t1,OIIb.chrX.v1.g390770.t1,1626584,1628065,ChrX,otto_ChrX,1626584,1628065,PAR
1.71E-05,0.0171081,0.001,OIIa.chrY.v1.g365160.t1,OIIb.chrX.v1.g390780.t1,1630419,1631539,ChrX,otto_ChrX,1630419,1631539,PAR
NA,NA,NA,OIIa.chrY.v1.g365170.t1,OIIb.chrX.v1.g390790.t1,1647410,1649295,ChrX,otto_ChrX,1647410,1649295,PAR
NA,NA,NA,OIIa.chrY.v1.g365180.t1,OIIb.chrX.v1.g390810.t1,1658450,1659400,ChrX,otto_ChrX,1658450,1659400,PAR
NA,NA,NA,OIIa.chrY.v1.g365190.t1,OIIb.chrX.v1.g390820.t1,1660308,1660637,ChrX,otto_ChrX,1660308,1660637,PAR
0.000480543,9.61E-06,50,OIIa.chrY.v1.g365210.t1,OIIb.chrX.v1.g390840.t1,1678398,1684110,ChrX,otto_ChrX,1678398,1684110,PAR
NA,NA,NA,OIIa.chrY.v1.g365230.t1,OIIb.chrX.v1.g390860.t1,1689195,1690481,ChrX,otto_ChrX,1689195,1690481,PAR
NA,NA,NA,OIIa.chrY.v1.g365240.t1,OIIb.chrX.v1.g390870.t1,1691649,1697796,ChrX,otto_ChrX,1691649,1697796,PAR
0.0129428,0.00933438,1.38657,OIIa.chrY.v1.g365250.t1,OIIb.chrX.v1.g390890.t1,1705831,1708454,ChrX,otto_ChrX,1705831,1708454,PAR
0.00517426,0.0056637,0.913583,OIIa.chrY.v1.g365270.t1,OIIb.chrX.v1.g390900.t1,1709144,1710948,ChrX,otto_ChrX,1709144,1710948,PAR
0.00631094,0.0185199,0.340765,OIIa.chrY.v1.g365280.t1,OIIb.chrX.v1.g390910.t1,1711052,1714633,ChrX,otto_ChrX,1711052,1714633,PAR
NA,NA,NA,OIIa.chrY.v1.g365290.t1,OIIb.chrX.v1.g390920.t1,1715253,1716924,ChrX,otto_ChrX,1715253,1716924,PAR
0.00653493,0.0255209,0.256062,OIIa.chrY.v1.g365300.t1,OIIb.chrX.v1.g390930.t1,1718893,1719843,ChrX,otto_ChrX,1718893,1719843,PAR
0.00470068,0.0172114,0.273115,OIIa.chrY.v1.g365310.t1,OIIb.chrX.v1.g390940.t1,1729857,1735188,ChrX,otto_ChrX,1729857,1735188,PAR
0.0148652,0.0614017,0.242098,OIIa.chrY.v1.g365320.t1,OIIb.chrX.v1.g390950.t1,1737925,1738182,ChrX,otto_ChrX,1737925,1738182,PAR
