Chromosome,Start,Stop,Ymers
carmag_ChrY,0,1000000,0
carmag_ChrY,100000,1100000,0
carmag_ChrY,200000,1200000,0.000042
carmag_ChrY,300000,1300000,0.000042
carmag_ChrY,400000,1400000,0.000106
carmag_ChrY,500000,1500000,0.000106
carmag_ChrY,600000,1600000,0.000106
carmag_ChrY,700000,1700000,0.000106
carmag_ChrY,800000,1800000,0.000106
carmag_ChrY,900000,1900000,0.000148
carmag_ChrY,1000000,2000000,0.00019
carmag_ChrY,1100000,2100000,0.000245
carmag_ChrY,1200000,2200000,0.000246
carmag_ChrY,1300000,2300000,0.000296
carmag_ChrY,1400000,2400000,0.000232
carmag_ChrY,1500000,2500000,0.000274
carmag_ChrY,1600000,2600000,0.000274
carmag_ChrY,1700000,2700000,0.000274
carmag_ChrY,1800000,2800000,0.000274
carmag_ChrY,1900000,2900000,0.000232
carmag_ChrY,2000000,3000000,0.00019
carmag_ChrY,2100000,3100000,0.000135
carmag_ChrY,2200000,3200000,0.000113
carmag_ChrY,2300000,3300000,0.000084
carmag_ChrY,2400000,3400000,0.000084
carmag_ChrY,2500000,3500000,0.000063
carmag_ChrY,2600000,3600000,0.000084
carmag_ChrY,2700000,3700000,0.000105
carmag_ChrY,2800000,3800000,0.000105
carmag_ChrY,2900000,3900000,0.000147
carmag_ChrY,3000000,4000000,0.000147
carmag_ChrY,3100000,4100000,0.000238
carmag_ChrY,3200000,4200000,0.000217
carmag_ChrY,3300000,4300000,0.000196
carmag_ChrY,3400000,4400000,0.000196
carmag_ChrY,3500000,4500000,0.000197
carmag_ChrY,3600000,4600000,0.000176
carmag_ChrY,3700000,4700000,0.000155
carmag_ChrY,3800000,4800000,0.000179
carmag_ChrY,3900000,4900000,0.000288
carmag_ChrY,4000000,5000000,0.000288
carmag_ChrY,4100000,5100000,0.000218
carmag_ChrY,4200000,5200000,0.000218
carmag_ChrY,4300000,5300000,0.000239
carmag_ChrY,4400000,5400000,0.00026
carmag_ChrY,4500000,5500000,0.000238
carmag_ChrY,4600000,5600000,0.000238
carmag_ChrY,4700000,5700000,0.000238
carmag_ChrY,4800000,5800000,0.000214
carmag_ChrY,4900000,5900000,0.000063
carmag_ChrY,5000000,6000000,0.000063
carmag_ChrY,5100000,6100000,0.000042
carmag_ChrY,5200000,6200000,0.000042
carmag_ChrY,5300000,6300000,0.000087
carmag_ChrY,5400000,6400000,0.000066
carmag_ChrY,5500000,6500000,0.000066
carmag_ChrY,5600000,6600000,0.000066
carmag_ChrY,5700000,6700000,0.000066
carmag_ChrY,5800000,6800000,0.000066
carmag_ChrY,5900000,6900000,0.000066
carmag_ChrY,6000000,7000000,0.00013
carmag_ChrY,6100000,7100000,0.00013
carmag_ChrY,6200000,7200000,0.00013
carmag_ChrY,6300000,7300000,0.000064
carmag_ChrY,6400000,7400000,0.000064
carmag_ChrY,6500000,7500000,0.000149
carmag_ChrY,6600000,7600000,0.000149
carmag_ChrY,6700000,7700000,0.000149
carmag_ChrY,6800000,7800000,0.000323
carmag_ChrY,6900000,7900000,0.000323
carmag_ChrY,7000000,8000000,0.000259
carmag_ChrY,7100000,8100000,0.000259
carmag_ChrY,7200000,8200000,0.000259
