gene,bin,bin_adv,dN/dS,species
CaSa_OIIb.chr7.v1.g292390.t1,Autosomal,Autosomal,NA,cannabis
CaSa_OIIb.chr3.v1.g146100.t1,Autosomal,Autosomal,NA,cannabis
CaSa_OIIb.chr2.v1.g120720.t1,Autosomal,Autosomal,NA,cannabis
CaSa_OIIb.chr6.v1.g272320.t1,Autosomal,Autosomal,NA,cannabis
CaSa_OIIb.chr8.v1.g344050.t1,Autosomal,Autosomal,NA,cannabis
CaSa_OIIb.chr8.v1.g333550.t1,Autosomal,Autosomal,NA,cannabis
CaSa_OIIb.chr1.v1.g079400.t1,Autosomal,Autosomal,2.57786,cannabis
CaSa_OIIb.chr8.v1.g336750.t1,Autosomal,Autosomal,2.34863,cannabis
CaSa_OIIb.chr8.v1.g341800.t1,Autosomal,Autosomal,1.99671,cannabis
CaSa_OIIb.chr1.v1.g101590.t1,Autosomal,Autosomal,1.55343,cannabis
CaSa_OIIb.chrX.v1.g401390.t1,X-linked,PAR,1.51396,cannabis
CaSa_OIIb.chrX.v1.g412570.t1,X-linked,PAR,1.42417,cannabis
CaSa_OIIb.chr2.v1.g110520.t1,Autosomal,Autosomal,1.38602,cannabis
CaSa_OIIb.chr7.v1.g314150.t1,Autosomal,Autosomal,1.37973,cannabis
CaSa_OIIb.chrX.v1.g414830.t1,X-linked,HXR,1.33373,cannabis
CaSa_OIIb.chr1.v1.g090590.t1,Autosomal,Autosomal,1.27068,cannabis
CaSa_OIIb.chr1.v1.g084070.t1,Autosomal,Autosomal,1.21057,cannabis
CaSa_OIIb.chr1.v1.g099190.t1,Autosomal,Autosomal,1.17652,cannabis
CaSa_OIIb.chr2.v1.g131400.t1,Autosomal,Autosomal,1.1261,cannabis
CaSa_OIIb.chr2.v1.g118690.t1,Autosomal,Autosomal,1.11965,cannabis
CaSa_OIIb.chr1.v1.g086060.t1,Autosomal,Autosomal,1.11849,cannabis
CaSa_OIIb.chr1.v1.g086350.t1,Autosomal,Autosomal,1.09767,cannabis
